,0.0,0.1,0.2,0.30000000000000004,0.4,0.5
0.9,1.793819094391949e-05,0.004754432045277471,0.009903183082087421,0.013768115997969052,0.019583731763480085,0.024269372398364256
0.91,2.2988990565180304e-05,0.005067197497519128,0.01038052582565912,0.01533354934152726,0.021691510653590165,0.024813149171894117
0.92,1.4491490461304098e-05,0.005845955146315882,0.012157872247356084,0.01833053758302257,0.02417217678633578,0.029437664907761275
0.93,2.637515557831507e-05,0.006960472207522145,0.013474898204510198,0.019481774485879556,0.026656301202633032,0.0328100988907895
0.9400000000000001,1.4292796954360025e-05,0.008482502642097777,0.01660451994203065,0.022762361931443948,0.037104954680279925,0.04074887002097617
0.95,1.2221289861098664e-05,0.010015899210088636,0.019355244567464715,0.031650906565197916,0.0441779065885873,0.053845400097499864
0.96,3.45058191195432e-05,0.013603201569760944,0.02740351720912286,0.04172552794112043,0.05968469305126805,0.07951570154226974
0.97,0.10440980750328217,0.04135289839643647,0.06266346233838939,0.10314254332237614,0.16271443282180267,0.1613448402316589
0.98,1.1331697894176056,1.1132394231841243,1.0940145479855634,1.0749088136338998,1.0587346376647675,1.0402758466688498
0.99,1.0231519704877639,1.019144082196453,1.0156044329958855,1.011675444181681,1.0072237591488977,1.0013894638991314
1.0,1.0492659078774682,1.047209987460778,1.045205706181781,1.042848480343529,1.0405384060247906,1.0381449413896937
